	logFC	logCPM	PValue	FDR
ENSMUSG00000032051	-1.127965206	5.999080357	7.34E-24	6.77E-22
ENSMUSG00000036120	1.240274887	4.030622592	7.77E-24	7.12E-22
ENSMUSG00000024378	-2.31084722	6.142462619	8.73E-24	7.93E-22
ENSMUSG00000021210	-2.056066509	9.137211846	9.89E-24	8.92E-22
ENSMUSG00000041930	2.441559997	2.985474376	9.96E-24	8.92E-22
ENSMUSG00000021091	1.495846665	9.268236325	1.77E-23	1.57E-21
ENSMUSG00000090264	2.847271587	6.874436783	1.83E-23	1.61E-21
ENSMUSG00000052562	-2.023168778	6.536474257	2.18E-23	1.91E-21
ENSMUSG00000074373	4.342752353	2.469167759	2.85E-23	2.48E-21
ENSMUSG00000027809	1.04980659	8.441281579	3.33E-23	2.88E-21
ENSMUSG00000021750	4.717101018	1.65113964	5.59E-23	4.78E-21
ENSMUSG00000062908	1.018166457	8.926174738	5.62E-23	4.78E-21
ENSMUSG00000062762	1.182997568	8.092466536	6.11E-23	5.17E-21
ENSMUSG00000055866	-1.898690746	4.436197888	1.17E-22	9.82E-21
ENSMUSG00000030278	3.275048045	4.471410453	1.39E-22	1.16E-20
ENSMUSG00000097321	-1.982804203	2.743021361	1.51E-22	1.25E-20
ENSMUSG00000038754	2.760172812	7.108773795	1.60E-22	1.32E-20
ENSMUSG00000113399	5.418937099	0.794879765	1.91E-22	1.56E-20
ENSMUSG00000037798	1.864131684	12.70828075	2.69E-22	2.18E-20
ENSMUSG00000034258	1.781414785	2.800796871	3.02E-22	2.43E-20
ENSMUSG00000045672	-1.822693096	4.641316401	3.06E-22	2.45E-20
ENSMUSG00000024118	1.306474208	7.175896292	4.44E-22	3.53E-20
ENSMUSG00000006711	-2.523454591	2.187585281	4.57E-22	3.61E-20
ENSMUSG00000095061	4.830768621	2.240720803	4.78E-22	3.75E-20
ENSMUSG00000056698	1.184509738	4.873901828	5.69E-22	4.44E-20
ENSMUSG00000100094	-1.490825312	4.308554401	6.59E-22	5.11E-20
ENSMUSG00000063590	-3.272280971	2.594871148	7.75E-22	5.97E-20
ENSMUSG00000024292	-1.278921057	7.290541415	1.12E-21	8.54E-20
ENSMUSG00000038768	-1.613098064	4.284329218	1.19E-21	9.05E-20
ENSMUSG00000033715	-1.946641478	8.304001532	2.05E-21	1.55E-19
ENSMUSG00000028383	1.190785812	6.626697553	2.34E-21	1.76E-19
ENSMUSG00000025574	-1.452304301	4.914109845	2.59E-21	1.93E-19
ENSMUSG00000006777	2.390923375	2.00292592	2.73E-21	2.02E-19
ENSMUSG00000009378	-1.381945506	5.916932734	2.94E-21	2.17E-19
ENSMUSG00000026179	1.13650975	7.109330304	3.13E-21	2.30E-19
ENSMUSG00000090925	-4.19533092	0.455915993	6.17E-21	4.50E-19
ENSMUSG00000025089	1.334915683	8.232036674	9.07E-21	6.57E-19
ENSMUSG00000025504	1.053943098	6.152485285	1.01E-20	7.27E-19
ENSMUSG00000020604	1.683695832	4.525671336	1.15E-20	8.24E-19
ENSMUSG00000029440	1.177433377	5.666791207	1.23E-20	8.74E-19
ENSMUSG00000022040	1.13595481	10.25029109	1.29E-20	9.11E-19
ENSMUSG00000055912	-1.032889604	6.488677151	1.34E-20	9.45E-19
ENSMUSG00000073600	1.574613404	3.450958382	1.35E-20	9.45E-19
ENSMUSG00000035372	1.224528111	5.724579834	2.12E-20	1.48E-18
ENSMUSG00000032018	-1.406930657	7.891402252	2.74E-20	1.89E-18
ENSMUSG00000044469	1.30396205	4.787781771	3.42E-20	2.35E-18
ENSMUSG00000021400	1.014712823	5.869126417	3.47E-20	2.37E-18
ENSMUSG00000030256	-3.428733763	1.498820614	5.80E-20	3.94E-18
ENSMUSG00000001211	0.969288212	8.197218156	6.71E-20	4.54E-18
ENSMUSG00000022617	1.010653188	5.359534891	7.42E-20	4.99E-18
ENSMUSG00000063730	-2.402362542	5.479686093	7.98E-20	5.32E-18
ENSMUSG00000026614	1.583117521	5.098074785	8.00E-20	5.32E-18
ENSMUSG00000096105	3.451461651	-0.235305715	8.23E-20	5.45E-18
ENSMUSG00000030934	1.387058836	9.668038252	8.34E-20	5.49E-18
ENSMUSG00000020123	1.424970984	3.643327752	1.04E-19	6.79E-18
ENSMUSG00000071633	1.202191963	7.049348203	1.31E-19	8.50E-18
ENSMUSG00000005125	1.455687919	4.142792699	1.32E-19	8.50E-18
ENSMUSG00000037157	2.038650837	2.863380806	1.32E-19	8.50E-18
ENSMUSG00000040505	-1.231021794	6.470927367	1.49E-19	9.53E-18
ENSMUSG00000026043	-1.437158578	4.604194291	1.87E-19	1.19E-17
ENSMUSG00000109904	-3.457527595	0.667833687	2.30E-19	1.46E-17
ENSMUSG00000019883	-1.034654588	5.579754587	2.52E-19	1.59E-17
ENSMUSG00000091586	1.117430156	3.855635413	2.76E-19	1.73E-17
ENSMUSG00000023070	-1.396873651	9.037786438	2.90E-19	1.81E-17
