"logFC.group_allWT.12"	"logFC.group_allWT.16"	"logFC.group_allWT.2"	"logFC.group_allWT.24"	"logFC.group_allWT.4"	"logFC.group_allWT.6"	"logFC.group_allWT.8"	"logCPM"	"LR"	"PValue"	"FDR"
"ENSMUSG00000028715"	4.01879638979104	4.32249509337128	-0.612495651142115	4.30586244074298	1.08992602545404	2.42482473594667	3.03542046705417	11.768113653912	607.360916202971	6.32844277681351e-127	8.23157811369524e-124
"ENSMUSG00000022389"	-1.29925507324013	-1.76841201539281	-0.0456949986241123	-0.394945803297691	-0.165429302919399	-0.45334288842856	-0.689932874021108	7.49877993235711	597.807459373946	7.22182730225632e-125	8.61082542005695e-122
"ENSMUSG00000035686"	-4.99137578969443	-5.36280181844589	-0.152283914629721	-4.29193262685685	-0.672871384281111	-1.77620624125199	-3.07438133822303	8.34543731025518	558.907579568975	1.70941924440778e-116	1.88141311915281e-113
"ENSMUSG00000062410"	-2.3117224703154	-2.07931084236608	-0.0836781776539848	-1.07045416788704	-0.53740176748245	-1.08818230429899	-1.5464219287312	7.17938290102758	549.779029951845	1.57497260740947e-114	1.60962200477248e-111
"ENSMUSG00000027875"	1.34501043289927	1.5503434878768	0.030846442967101	1.38284648000954	0.289154785285315	0.433005309070041	0.992721761120625	12.0487634084563	543.062338375472	4.3902249538919e-113	4.18768924268568e-110
"ENSMUSG00000036957"	2.49677841762712	2.47697163216622	-0.0530695261509391	1.49748626307471	0.737884850910406	1.78683121686658	2.49574834509106	3.82179361410625	540.276404522186	1.74534412648214e-112	1.56077398510665e-109
"ENSMUSG00000003721"	3.3743736023323	3.51642716511483	0.47019842231916	2.17357031442935	1.49119260414383	2.11538307772111	2.62144292959517	8.19364631211481	523.970769990623	5.61639407229557e-109	4.72702155214147e-106
"ENSMUSG00000026853"	2.13701212010806	1.96598045350672	-0.061045623242044	1.47424908359047	0.431034308878728	1.14113221160022	1.77081028418059	6.78058213961231	518.77409678986	7.36411341618267e-108	5.8536519310412e-105
"ENSMUSG00000039982"	1.95211198458036	1.86113922279552	-0.392613126795123	0.372759771164772	-0.227776695594955	0.803499550922676	1.28734510465775	3.29266807600239	516.606791568383	2.15385757672992e-107	1.62196811620272e-104
"ENSMUSG00000067071"	-1.90306202763504	-2.07256588489272	-0.0823952224230677	-1.82726370994973	-0.753550579177675	-1.48698872466576	-1.72120479837348	5.51875160946928	510.454022222572	4.53227161551881e-106	3.24238711374215e-103
"ENSMUSG00000056666"	1.84443718034688	1.98603385352232	0.158603029050059	1.8890035007959	0.48367327189443	0.821452910933755	1.34577487127021	10.1804706438077	509.473672725166	7.36405646033025e-106	5.01737713497168e-103
"ENSMUSG00000091780"	2.02163682562368	1.95588041747773	-0.246491012689786	1.19894425375633	0.319645199717942	0.925680171813979	1.61039877467702	5.5002017099544	489.306831728491	1.5944680956056e-101	1.03698406872386e-98
"ENSMUSG00000052562"	-1.37901656862652	-2.02325054964016	0.270391381815858	-2.26165741934156	-0.0519267162002641	-0.301458613657429	-0.708226329964246	6.61586885735964	480.54790307542	1.21636129882186e-99	7.56682498414924e-97
"ENSMUSG00000047446"	2.01905365494792	2.06050536664464	0.692253406696808	1.58415643459362	1.11662490103181	1.49694048674712	1.70484435074586	5.19012731046027	467.28226880948	8.61774341207472e-97	5.13761136416521e-94
