"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000032808"	1.827008875678	6.41931631187232	1.53797394218323e-57	2.48439059001939e-55
"ENSMUSG00000021876"	-1.77729537939244	8.84546312442996	4.35465297596819e-57	6.94960642405719e-55
"ENSMUSG00000074183"	2.70188803955879	5.88991307928154	7.55831405998266e-57	1.19187414331584e-54
"ENSMUSG00000064247"	2.48871392276737	2.96892091899789	1.17632836624653e-56	1.83313476932959e-54
"ENSMUSG00000066153"	-3.49252407745885	4.62198451023219	2.15130251488887e-56	3.31350617583929e-54
"ENSMUSG00000057346"	-2.12685677084095	5.45475788952595	6.83156004166034e-56	1.04012464726245e-53
"ENSMUSG00000025453"	2.13831373629396	6.84225414075501	8.62622294713845e-55	1.29844260406586e-52
"ENSMUSG00000031963"	4.4421962166383	1.65470993009906	1.3269956964774e-54	1.97498707815052e-52
"ENSMUSG00000030378"	-2.4754763004447	8.7449367445283	1.44762283606623e-54	2.13057912072592e-52
"ENSMUSG00000028664"	5.40552738574556	2.77849031705011	8.65221296508156e-54	1.25419732065625e-51
"ENSMUSG00000078672"	-4.08012913203965	11.507374350574	8.71101868491432e-54	1.25419732065625e-51
"ENSMUSG00000026822"	3.77133789492875	4.28486300421709	1.41580707626496e-53	2.01653554109738e-51
"ENSMUSG00000026853"	1.42674833302085	6.45542607256858	4.27112981794447e-53	6.01865803920133e-51
"ENSMUSG00000017167"	4.31750247883074	3.66151786791274	7.3243724812155e-53	1.02124881985453e-50
"ENSMUSG00000039202"	2.03121820224572	7.58345113373973	1.0857757878736e-52	1.49814438397643e-50
"ENSMUSG00000078686"	-4.35822542860461	3.53405017464404	2.48716765568701e-52	3.39639409971444e-50
"ENSMUSG00000020684"	3.59786371777084	2.06672818299576	4.81836958659728e-52	6.512665667762e-50
"ENSMUSG00000052684"	1.83494324157241	4.92045881079491	4.05327277863886e-51	5.42319709352024e-49
"ENSMUSG00000022951"	1.61783727261273	5.81058019050835	1.00438379254495e-50	1.33040677160504e-48
"ENSMUSG00000023019"	1.49914967090876	9.63432839616361	5.04017112190471e-50	6.61010957235147e-48
"ENSMUSG00000027820"	1.55943276207075	5.9972131701664	1.14407451191818e-49	1.48572656714394e-47
"ENSMUSG00000090213"	1.70251659038575	5.47834068910898	3.1737514412053e-49	4.08150597963159e-47
"ENSMUSG00000026380"	1.75170582627609	4.42079108597202	4.73707774539791e-49	5.97900104622124e-47
"ENSMUSG00000022025"	-3.21048202035784	2.28727661768645	4.73950709537392e-49	5.97900104622124e-47
"ENSMUSG00000074373"	5.43728139392551	3.71341623012187	5.8028491846279e-49	7.25137172637558e-47
"ENSMUSG00000040268"	1.66104298706079	4.0015260530704	8.53082894358488e-49	1.05606878679182e-46
"ENSMUSG00000032548"	-1.17441513397494	6.5000331527787	2.08166436513443e-48	2.55312279449729e-46
"ENSMUSG00000030762"	2.12303764081655	6.82685550338728	3.23208484965807e-48	3.92772439619916e-46
"ENSMUSG00000032091"	4.77112476616471	1.26962236681377	4.55823040696825e-48	5.48893817915467e-46
"ENSMUSG00000060613"	-2.36364356352893	8.23992143126265	4.8194499268473e-48	5.75121024603778e-46
"ENSMUSG00000025574"	-1.73062626218757	4.88491044799345	1.81803311342019e-47	2.15014880538963e-45
"ENSMUSG00000097354"	-1.67178101070714	3.37579265702632	2.3257126138664e-47	2.72622914011277e-45
"ENSMUSG00000030545"	1.56603161038411	7.4720169966623	4.79522427943552e-47	5.57171410573709e-45
"ENSMUSG00000078964"	-1.39849027591452	5.96538170974501	5.68770849151356e-47	6.55125101552944e-45
"ENSMUSG00000028036"	4.68113181606382	1.19381121939884	9.03633275512445e-47	1.03185572133085e-44
"ENSMUSG00000059060"	3.52554916191856	1.75737592803855	1.23589486560295e-46	1.39920199912621e-44
"ENSMUSG00000037613"	3.04624647204602	1.89345284858701	2.00378361433616e-46	2.24933201317769e-44
"ENSMUSG00000111709"	2.75976659585081	5.51448850740872	5.3159010636895e-46	5.91717861257405e-44
"ENSMUSG00000038729"	1.37602207156134	4.48614468940064	7.34978991718595e-46	8.1129431035871e-44
"ENSMUSG00000001763"	-2.31483744788862	3.18422186969779	1.0170570960258e-45	1.11338333007916e-43
"ENSMUSG00000078675"	-4.26563531724234	4.86920121257815	1.48112821235325e-45	1.60811674596976e-43
"ENSMUSG00000062181"	-2.17239991352494	8.34360505397584	3.21051825207684e-45	3.45744103796827e-43
"ENSMUSG00000039648"	-1.50873733577845	6.66069687010525	3.5445388752676e-45	3.78636789853182e-43
"ENSMUSG00000022010"	1.59205026674114	6.41009954756698	3.7272551351186e-45	3.94969772158248e-43
"ENSMUSG00000035112"	-3.50707925356186	1.58569780510627	4.69979603001387e-45	4.94075382647331e-43
"ENSMUSG00000055172"	-1.25039080598772	8.1464836523317	4.80607079235401e-45	5.01269399334813e-43
"ENSMUSG00000047746"	2.9467519541195	2.02952810579	7.27798437789001e-45	7.53157664605711e-43
"ENSMUSG00000041698"	-7.57897989467028	7.52197073063595	1.69426678609863e-44	1.73970991074903e-42
"ENSMUSG00000068747"	-1.89339600564878	4.533933121557	4.15305109786275e-44	4.23163960325308e-42
"ENSMUSG00000022129"	3.4938478419069	2.36122682611323	1.7666857987044e-43	1.78637557936172e-41
"ENSMUSG00000040562"	2.21862562719335	6.89800868359635	3.02793987150144e-43	3.03849178317486e-41
"ENSMUSG00000115919"	-3.51120978744993	3.99117133470515	3.95025252488292e-43	3.93421390560896e-41
"ENSMUSG00000066366"	-1.2154085570886	11.9316411450489	5.25754236864011e-43	5.19711986679156e-41
"ENSMUSG00000072849"	-9.96048284727108	12.4202036140217	2.59803300903332e-42	2.54915149908559e-40
"ENSMUSG00000034853"	2.12446428601299	5.70771104563149	3.98778501212174e-42	3.8839853140121e-40
"ENSMUSG00000024371"	-1.17387130720838	6.73102752926867	5.3376646915327e-42	5.16078149664541e-40
"ENSMUSG00000028961"	1.38692490664996	6.05142735144122	7.75779372167704e-42	7.44635765487929e-40
"ENSMUSG00000022218"	-2.08259736294701	3.88178593682309	9.84377045045701e-42	9.38061750983838e-40
"ENSMUSG00000035372"	1.36140333100942	5.89442445875018	1.51188144933776e-41	1.43045583413771e-39
"ENSMUSG00000002847"	-1.15354922634306	5.02560076257196	1.53966067568596e-41	1.44640746880399e-39
"ENSMUSG00000039519"	-4.95946065900964	6.78872065500259	5.4803343001713e-41	5.11214846056824e-39
"ENSMUSG00000040964"	-1.25209471598124	4.35401930268306	5.57439384322843e-41	5.16352593338488e-39
"ENSMUSG00000043079"	1.87550353943525	4.02523836166422	1.3600731245369e-40	1.25107837552887e-38
"ENSMUSG00000024131"	-1.75571237453854	4.66901573212202	3.91284223039393e-40	3.57444884026193e-38
"ENSMUSG00000069456"	1.34776605773527	7.17732876254096	1.30258399866881e-39	1.1817827155046e-37
"ENSMUSG00000008153"	1.54093265396635	5.18526560491273	1.36213912795273e-39	1.22740781556884e-37
"ENSMUSG00000107198"	2.4852382837304	2.55653783913597	2.48402579479053e-39	2.22320308633752e-37
"ENSMUSG00000026839"	-1.63420258599277	8.84306435123959	4.53065814953815e-39	4.02772468783774e-37
"ENSMUSG00000006800"	1.79688191095026	5.03320066174686	1.88715862338096e-38	1.66648687502028e-36
"ENSMUSG00000029674"	2.52876884733708	3.66164270840749	7.78770608735574e-38	6.83152018762345e-36
"ENSMUSG00000022868"	-1.03019365814532	12.3483479444771	3.23429455043662e-37	2.81851747467654e-35
"ENSMUSG00000028555"	3.16080822438234	2.13533089978312	4.39555192036905e-37	3.80545625733388e-35
"ENSMUSG00000020123"	-2.2600523670776	2.08012154047569	6.28967654189021e-37	5.40993866713492e-35
"ENSMUSG00000037071"	2.97195132560938	13.9068972950761	7.34613077250967e-37	6.27786117501052e-35
"ENSMUSG00000027907"	2.14644719716735	3.37337197324782	1.08943926775238e-36	9.25045675682567e-35
"ENSMUSG00000030827"	4.67372805502873	1.74615147720184	1.20362646029646e-36	1.0154927447826e-34
"ENSMUSG00000027983"	-2.19687881428462	3.63252978497897	1.42816521721275e-36	1.19730863716456e-34
"ENSMUSG00000112249"	-1.99713734239308	2.17070278295067	1.53811701432861e-36	1.28137723093061e-34
"ENSMUSG00000032802"	1.58723680227122	6.70828353369105	2.79810754861381e-36	2.31648328680866e-34
"ENSMUSG00000058620"	1.98714749463	3.19086940923115	3.35122974043235e-36	2.75716702743894e-34
"ENSMUSG00000044378"	1.52422199648709	3.30711186942406	3.41047231533934e-36	2.78858742524599e-34
"ENSMUSG00000055675"	2.9487232809748	2.86809764572852	3.59181133874092e-36	2.91884251490566e-34
"ENSMUSG00000041773"	1.89431503186534	3.28922083579297	8.72954353561547e-36	7.05070327272942e-34
"ENSMUSG00000020458"	1.246842388891	6.25359658698804	9.14222250245096e-36	7.33926541014942e-34
"ENSMUSG00000026796"	1.78718743955272	4.18055953882104	9.63788064874517e-36	7.6905642815228e-34
"ENSMUSG00000032946"	1.29555760920614	4.12064196127326	1.273820965995e-35	1.01036122847723e-33
"ENSMUSG00000023828"	1.31973424417048	3.9489725304159	1.46967719313314e-35	1.15877048215724e-33
