"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000020034"	0.960486068509667	5.0253153957854	1.14811651932479e-17	1.636662677805e-15
"ENSMUSG00000029385"	1.26771665576441	3.60677492461479	1.15181592658904e-17	1.636662677805e-15
"ENSMUSG00000056234"	0.873962094010493	7.84386363689971	1.23079551966913e-17	1.72855212634462e-15
"ENSMUSG00000054920"	-1.00563652238989	4.5717308493331	1.47548446945473e-17	2.04837947380164e-15
"ENSMUSG00000048706"	0.923066529180926	5.77548998566352	2.30794174375787e-17	3.16561552857925e-15
"ENSMUSG00000045973"	1.32851996774913	7.06865606901068	2.33266916744124e-17	3.16561552857925e-15
"ENSMUSG00000024070"	-0.863699961027927	7.20804239040432	2.57173834399689e-17	3.45127285764382e-15
"ENSMUSG00000033917"	1.19278603649843	6.52225643374347	2.88678155567917e-17	3.83148875049374e-15
"ENSMUSG00000068747"	-1.21879996041366	4.69274974094427	3.32110502432729e-17	4.31359707397121e-15
"ENSMUSG00000021133"	1.0359848546764	6.52461079795871	3.321448318259e-17	4.31359707397121e-15
"ENSMUSG00000022848"	0.794477612330041	5.31200166164392	3.79841547714409e-17	4.88055980137727e-15
"ENSMUSG00000039934"	-1.17204218955082	4.8201276515856	4.11634270053157e-17	5.23338811968635e-15
"ENSMUSG00000028521"	-0.864257090820709	6.936466979881	4.28298140115888e-17	5.38852597533301e-15
"ENSMUSG00000027346"	1.54585606229713	8.17798738822363	7.05631860393981e-17	8.78620784519434e-15
"ENSMUSG00000024378"	-0.968398999861913	6.48802517174026	7.5151299914836e-17	9.26201428950397e-15
"ENSMUSG00000057722"	2.35315234133213	2.73748056760831	7.73478497558606e-17	9.43643767021499e-15
"ENSMUSG00000038754"	1.86352780123885	6.37564572292799	8.19264798025943e-17	9.89508023055735e-15
"ENSMUSG00000024236"	-1.25404408083295	4.87353647338015	8.65912115418127e-17	1.03549371584358e-14
"ENSMUSG00000020423"	1.66126402471618	3.40902031539716	9.44507666281705e-17	1.11840819542651e-14
"ENSMUSG00000044991"	1.30164954068248	2.84900814608278	1.08949414713601e-16	1.27756410768046e-14
"ENSMUSG00000029370"	-1.21234898091073	2.89849886389785	1.15761994687116e-16	1.34439747291441e-14
"ENSMUSG00000028300"	1.26787314128749	3.80794991557851	1.34438055636865e-16	1.5451576404943e-14
"ENSMUSG00000026870"	-0.970219442019045	4.7622737659207	1.35607476314287e-16	1.5451576404943e-14
"ENSMUSG00000020689"	1.41698200621684	2.51685862142445	1.40774363200958e-16	1.58903996144035e-14
"ENSMUSG00000049550"	0.820609657309411	6.01236114273631	1.81777837274051e-16	2.03288214684813e-14
"ENSMUSG00000037287"	-0.883707217153999	6.21922930207401	2.31728316448656e-16	2.56771982207969e-14
"ENSMUSG00000054520"	-1.04662130302044	4.70089387826212	2.63746641698485e-16	2.89593812584937e-14
"ENSMUSG00000042289"	-0.886363585223711	8.26318469140737	2.94094353194523e-16	3.2000645025977e-14
"ENSMUSG00000034006"	-1.08879847104033	6.09379564711796	3.28201844756851e-16	3.53930525086897e-14
"ENSMUSG00000040740"	1.21217248663225	3.11293648575224	3.34967495430957e-16	3.58029859275672e-14
"ENSMUSG00000038007"	0.906143126682218	4.35139558029744	4.97666485714149e-16	5.27264545127675e-14
"ENSMUSG00000020429"	3.59966775703369	6.81677116634047	5.04420397714399e-16	5.29773005529957e-14
"ENSMUSG00000038507"	-0.892336975098704	4.92702531926682	7.01672914092931e-16	7.30586677277105e-14
"ENSMUSG00000004071"	1.01841091183884	6.89387066067268	7.23832637984313e-16	7.47218000134575e-14
"ENSMUSG00000002324"	-1.8624099585525	1.60189703111472	7.39155509178192e-16	7.56569511852051e-14
"ENSMUSG00000033618"	1.13832918993179	4.42636226322503	7.65785322097396e-16	7.77239926074987e-14
"ENSMUSG00000089712"	1.95035738961799	2.73460314226238	1.0409189509069e-15	1.0476849240878e-13
"ENSMUSG00000006538"	-2.35992401144975	1.39855733896651	1.09245953736115e-15	1.09047324729322e-13
"ENSMUSG00000038859"	0.978649468820097	5.6023949864823	1.50970748898894e-15	1.49461041409905e-13
"ENSMUSG00000051359"	-1.22449391759657	3.22547385805277	1.6419926137995e-15	1.61235664955043e-13
"ENSMUSG00000006567"	-0.883056464898519	4.83987944568428	4.37860675428656e-15	4.26490422405428e-13
"ENSMUSG00000001542"	0.837549891674403	6.00984701838692	5.12182594850359e-15	4.94891310448211e-13
"ENSMUSG00000085241"	1.60115925925576	1.84815574098641	6.96582999395575e-15	6.67724560849187e-13
"ENSMUSG00000038375"	0.93014158049773	8.46196628547924	8.33133441046631e-15	7.92329582752851e-13
"ENSMUSG00000044813"	1.20887957721218	5.84833426593472	8.71067571918591e-15	8.21933916690058e-13
"ENSMUSG00000032735"	1.31645100538269	5.03570881251279	9.30071734746703e-15	8.70806698625634e-13
"ENSMUSG00000060548"	-1.59910126061679	2.60016590374319	9.99640508276404e-15	9.28742927612493e-13
"ENSMUSG00000028655"	1.71637502347206	6.40781654949599	1.09733360585878e-14	1.01172483141698e-12
"ENSMUSG00000038342"	0.928940783880202	4.00427308799862	1.45329631579552e-14	1.3297661289529e-12
"ENSMUSG00000034903"	0.947788733655249	6.04134020914344	1.59852336770023e-14	1.45165152143484e-12
"ENSMUSG00000020038"	1.6521270096486	3.88750201087363	2.31121004070271e-14	2.08319364713487e-12
"ENSMUSG00000036006"	-2.18985675016724	1.63509434865742	3.16334370639149e-14	2.83013816931825e-12
"ENSMUSG00000110588"	3.45788505031129	0.943405494973746	3.30375661414496e-14	2.93402738129727e-12
"ENSMUSG00000030102"	0.80824837893512	6.59489793257936	4.06033600277991e-14	3.57961593004203e-12
"ENSMUSG00000037583"	-1.5657481212984	4.42374385626775	4.1496945139798e-14	3.63188480723536e-12
"ENSMUSG00000029273"	1.21733346133187	6.99192898757212	4.41152435298514e-14	3.83326554930608e-12
"ENSMUSG00000025509"	1.00869013372098	7.24678354555532	4.56245675158905e-14	3.93609661754947e-12
"ENSMUSG00000006517"	-2.14127154593653	2.79158885374855	5.3496604698763e-14	4.55356455420337e-12
"ENSMUSG00000023963"	1.13037148294214	5.52813859265856	5.35358641080376e-14	4.55356455420337e-12
"ENSMUSG00000002227"	-0.910495539965482	4.54612869619921	5.73058385054559e-14	4.84013928299928e-12
"ENSMUSG00000049044"	1.03515610184095	8.08955345931152	6.12912030616162e-14	5.14079965679306e-12
"ENSMUSG00000022091"	0.959085043946214	5.77590007118177	6.56080731853155e-14	5.46492626160165e-12
"ENSMUSG00000032311"	1.18056958497102	4.0982033143508	6.66003124667148e-14	5.50957927378754e-12
"ENSMUSG00000059824"	-1.23173493124277	6.71568056622639	7.885065035538e-14	6.47862690470939e-12
"ENSMUSG00000063268"	-1.00898786103605	4.55151401743782	8.96573643947226e-14	7.31676788621257e-12
"ENSMUSG00000067071"	-0.754604690734171	6.24757223253298	9.72346631068527e-14	7.88188094633938e-12
"ENSMUSG00000025195"	0.975401369982182	5.89032114688736	1.00518233341859e-13	8.09372814868652e-12
"ENSMUSG00000035969"	0.938663210118839	4.89642787771491	1.11786366386803e-13	8.94142869681995e-12
"ENSMUSG00000036040"	0.920948984632443	3.54421728053268	1.1336448264869e-13	9.0080014567821e-12
"ENSMUSG00000032066"	-1.01481212160665	4.08524785258039	1.41923442912712e-13	1.12036035522859e-11
"ENSMUSG00000065952"	-2.38761854603103	0.940238230829859	1.44230219220177e-13	1.13117700502682e-11
"ENSMUSG00000026202"	-0.732192541447883	7.00447437669259	1.61971874829941e-13	1.2621266478684e-11
"ENSMUSG00000028893"	1.08467233771154	3.87719834369818	1.63171715257753e-13	1.26332562620714e-11
"ENSMUSG00000108368"	2.02118129479218	0.686085010866052	1.83437810051658e-13	1.41118590433371e-11
"ENSMUSG00000060733"	0.740179729228392	6.57552433170174	2.08849366967012e-13	1.58667412218736e-11
"ENSMUSG00000113175"	3.00650343969088	0.538577782154084	2.08876623139419e-13	1.58667412218736e-11
