	logFC.group_allob.ob.12	logFC.group_allob.ob.16	logFC.group_allob.ob.2	logFC.group_allob.ob.24	logFC.group_allob.ob.4	logFC.group_allob.ob.6	logFC.group_allob.ob.8	logCPM	LR	PValue	FDR
ENSMUSG00000032353	-0.891480495	-1.088239679	-0.162117646	-0.378859904	-0.054715614	-0.673570062	-0.720273699	3.602007001	116.4687012	4.16E-22	1.34E-20
ENSMUSG00000023045	0.211082195	0.472878464	-0.099499957	0.605324369	0.052401768	-0.237919118	-0.183723087	5.035058851	116.4380779	4.22E-22	1.36E-20
ENSMUSG00000057315	0.720070078	0.704531867	0.073442891	-0.384136549	0.098469951	0.547050805	0.636593542	3.13476526	116.3186377	4.47E-22	1.43E-20
ENSMUSG00000079111	-0.495236621	-0.550637681	0.019508361	-0.214754956	-0.052675059	-0.284500564	-0.340328846	5.901770165	116.3031359	4.50E-22	1.44E-20
ENSMUSG00000080888	-1.354392415	-2.09320097	0.809599341	-0.349023214	0.345868143	0.408128737	-0.225619045	1.035356824	115.5967969	6.32E-22	2.02E-20
ENSMUSG00000025722	0.424493485	0.678627561	-0.192738652	0.260662221	-0.000105878	0.065556338	0.078985416	4.399912073	115.2302835	7.53E-22	2.40E-20
ENSMUSG00000023249	-0.328595019	0.073813247	-0.146212641	0.141500623	-0.375388681	-0.596530644	-0.604223696	4.752235082	115.0587691	8.17E-22	2.60E-20
ENSMUSG00000074802	-1.33772157	-1.403769644	-0.519148068	-1.439555166	-0.963495104	-1.36501412	-1.37766176	1.265829994	114.6800441	9.80E-22	3.11E-20
ENSMUSG00000021215	0.484707582	0.551842285	0.04909125	0.042907313	0.384366196	0.421864552	0.46579054	6.534399821	114.6175563	1.01E-21	3.20E-20
ENSMUSG00000037541	-0.189918231	-0.581876712	-0.300412888	-1.134043785	-0.608339859	-0.862646624	-0.775277107	3.458258659	114.5714701	1.03E-21	3.26E-20
ENSMUSG00000097819	1.69710039	2.230207528	-1.44877962	0.248996843	-0.634612352	-2.034570325	-0.629084252	-0.904053791	114.2480211	1.20E-21	3.80E-20
ENSMUSG00000024640	1.542531566	2.0947615	-0.264591428	2.191990785	0.537956877	0.333848502	0.099411179	0.718498113	114.23623	1.21E-21	3.81E-20
ENSMUSG00000055401	0.437848439	0.613253741	-0.0258067	-0.03062577	-0.044597587	0.057450228	0.132900687	4.862961559	114.2133667	1.22E-21	3.84E-20
ENSMUSG00000003477	-0.429432425	-0.844253852	0.350908464	-0.397056421	-0.181937023	0.126979569	-0.123675655	9.818840078	114.195585	1.24E-21	3.87E-20
ENSMUSG00000019989	0.120016884	-0.525431927	-0.067297568	-0.724282461	0.034189775	0.231311154	0.113648283	5.350817934	114.1825001	1.24E-21	3.88E-20
ENSMUSG00000053559	0.790306609	0.809265564	0.011682465	0.184445389	-0.216880593	-0.081400543	0.233790764	3.538867931	114.1282769	1.28E-21	3.98E-20
ENSMUSG00000037580	-0.424534048	-0.558365005	0.004346955	-0.48644719	-0.130483517	-0.22238451	-0.36725808	7.143839891	113.9389286	1.40E-21	4.34E-20
ENSMUSG00000019838	0.163771656	-0.245902065	0.303181268	-0.220559021	0.446879209	0.422276154	0.415129137	6.122002398	113.926078	1.41E-21	4.36E-20
ENSMUSG00000030748	0.46818945	0.540661574	-0.111709147	0.124024976	0.241251268	0.116874459	0.441044597	5.309477038	113.7414066	1.54E-21	4.75E-20
ENSMUSG00000020265	0.375352229	0.455548578	0.001473966	-0.102617821	-0.001957761	0.081871077	0.297023082	6.075940805	113.7393904	1.54E-21	4.75E-20
ENSMUSG00000041362	0.642752856	0.699425727	-0.007822553	0.171832503	0.119302023	0.302180842	0.536435293	5.235570973	113.6592474	1.60E-21	4.92E-20
ENSMUSG00000030357	-0.241209841	-0.644317184	0.094838308	-0.43005572	0.197742556	0.097055606	0.056487029	7.17585687	113.658457	1.60E-21	4.92E-20
ENSMUSG00000040738	-0.118349514	-0.594926828	0.156877499	-0.014263008	0.303738658	0.395260327	0.508718345	3.603663312	113.6034839	1.64E-21	5.04E-20
ENSMUSG00000036585	0.593443277	0.54465583	0.197015798	0.826838822	0.562307308	0.626646584	0.760507642	7.196337598	113.3372136	1.86E-21	5.71E-20
ENSMUSG00000021500	-0.10385852	0.106878638	-0.175008113	-0.052911337	-0.412891612	-0.551523564	-0.615316055	5.097312068	112.9906872	2.20E-21	6.72E-20
ENSMUSG00000042797	-0.432015031	-0.766228778	0.045313591	-0.399508945	-0.067901473	-0.205869782	-0.265082976	5.38287339	112.8417523	2.36E-21	7.20E-20
ENSMUSG00000092124	1.716731281	1.952594094	0.113234109	1.696324814	0.288085153	0.351240292	1.2116054	0.443541585	112.56267	2.70E-21	8.21E-20
ENSMUSG00000019132	-0.423499797	-0.67004962	0.1136072	-0.450109274	-0.074583413	0.028656675	-0.152463721	7.743002391	112.5350323	2.73E-21	8.30E-20
ENSMUSG00000074476	-0.569197908	-0.934233685	0.148416779	-0.356614795	-0.02023019	-0.357217867	-0.526275815	3.657630901	112.4639722	2.83E-21	8.57E-20
ENSMUSG00000032913	0.912021782	0.868435635	-0.013135755	0.235087605	0.194123357	0.422365449	0.600029743	3.084473613	112.4022429	2.91E-21	8.81E-20
ENSMUSG00000021877	-0.536761569	-0.526606063	0.015904239	-0.179381446	-0.146210315	-0.308331335	-0.359499007	6.709455275	111.8639358	3.77E-21	1.14E-19
ENSMUSG00000041782	0.56593768	0.265682548	-0.365823933	-0.490094413	0.062616353	0.42399695	0.711479111	3.899237398	111.8613291	3.77E-21	1.14E-19
ENSMUSG00000027333	0.983243056	1.131542918	-0.07873845	0.908449614	0.386079864	0.276442262	0.437440481	2.64764819	111.847164	3.80E-21	1.14E-19
ENSMUSG00000060373	0.00642611	-0.127277507	0.000161427	-0.341362398	0.071443636	0.292921396	0.315969226	5.911944639	111.8354722	3.82E-21	1.15E-19
ENSMUSG00000042747	-0.40589826	-0.500936003	0.048654273	-0.368360221	-0.045259338	-0.227858631	-0.330507596	4.604291837	111.8091647	3.87E-21	1.16E-19
ENSMUSG00000041119	1.00650738	0.447025627	-0.072418724	-0.310148716	0.01169322	0.224376299	0.580366815	3.477339266	111.7336106	4.01E-21	1.20E-19
ENSMUSG00000042485	0.947446556	1.270802867	-0.459175873	0.740770342	0.0341508	0.337663533	0.945847257	1.506986308	111.2355564	5.09E-21	1.52E-19
ENSMUSG00000050445	0.204071726	-0.2998915	-0.179697264	-1.579484626	-0.192982196	-0.06399484	0.02786776	8.336107343	110.8640582	6.08E-21	1.81E-19
ENSMUSG00000030126	-0.54835048	-0.606567109	0.217165235	-0.18627975	0.147014856	0.151563858	-0.062345698	5.17492494	110.7499983	6.42E-21	1.90E-19
ENSMUSG00000027801	0.478006644	0.654640233	0.09519087	0.732418429	0.376849741	0.390634296	0.553244264	6.892750803	110.6995918	6.57E-21	1.95E-19
ENSMUSG00000097195	1.697284407	1.848823916	0.423481917	1.290603618	0.743934294	0.956160785	1.043590459	1.721374828	110.4964555	7.24E-21	2.14E-19
ENSMUSG00000070392	0.024869406	-0.983357076	0.36254574	-0.306158299	0.923347862	0.879427827	0.704082479	3.935412343	110.1740106	8.45E-21	2.49E-19
ENSMUSG00000021594	-0.328830978	-1.009906976	0.145704398	-1.286782416	-0.558299987	-0.156927384	-0.022904299	6.487141398	110.1662431	8.48E-21	2.50E-19
ENSMUSG00000034371	-1.726224833	-2.291646697	-0.234403198	-1.324920632	-0.131247606	-0.362600237	-1.159119175	9.596257915	110.1421563	8.58E-21	2.52E-19
ENSMUSG00000035473	-0.169735206	-0.463348752	-0.001792146	-0.396446976	-0.006429608	0.015675889	-0.08216901	7.446282822	109.9472079	9.42E-21	2.76E-19
ENSMUSG00000085148	0.669497848	0.81347485	-0.115621625	0.49456203	-0.130882439	-0.158134586	-0.253994388	4.379576321	109.7091765	1.06E-20	3.09E-19
ENSMUSG00000089774	-0.406404102	-0.776809861	0.520251771	-0.113606216	0.59575262	0.919543542	0.711305243	2.028645697	109.5587221	1.13E-20	3.31E-19
ENSMUSG00000060477	0.461639068	0.647272742	-0.074920218	0.090787321	0.20763975	0.215089813	0.330106306	4.40085998	109.3674329	1.24E-20	3.62E-19
ENSMUSG00000025195	0.700621321	0.584972099	0.560760978	0.509937408	0.67745543	0.905979779	0.766497846	6.145437559	109.2441047	1.32E-20	3.83E-19
ENSMUSG00000039485	1.96715095	1.98904789	0.207681753	0.609927736	-0.2051821	0.433720499	0.885068574	1.46762603	109.1869959	1.35E-20	3.93E-19
ENSMUSG00000027710	-0.478915911	-0.53757551	-0.025278765	-0.57476879	-0.242251867	-0.320451129	-0.473226497	5.663464391	109.1160766	1.40E-20	4.06E-19
ENSMUSG00000025017	0.094840198	0.370097547	-0.149574349	0.362185617	-0.179081448	-0.407208273	-0.233674498	6.197762408	109.0687321	1.43E-20	4.14E-19
ENSMUSG00000032086	0.554340893	0.451748945	-0.001199092	0.318722268	0.232367976	0.402233245	0.546913778	5.507786929	109.0470506	1.45E-20	4.18E-19
ENSMUSG00000049090	-0.45227328	-0.504869352	0.03026115	-0.258363941	-0.168398507	-0.251951474	-0.414301049	6.73801676	108.8823312	1.57E-20	4.51E-19
ENSMUSG00000027965	-0.863946018	-1.643645929	0.0014214	-1.063240998	-0.543908925	-0.145076814	-0.697513475	2.392723398	108.815194	1.62E-20	4.65E-19
ENSMUSG00000047150	-0.632529466	-0.516728229	-0.116572848	-0.603427726	-0.594775808	-0.940219823	-1.059264104	2.956169386	108.8104787	1.62E-20	4.65E-19
ENSMUSG00000045302	-0.604131273	-0.462308083	-0.21342615	-0.289984467	-0.291673485	-0.5610875	-0.656109011	6.405080512	108.6486869	1.75E-20	5.01E-19
ENSMUSG00000028961	-0.968663659	-0.916170654	-0.028318718	-1.183038871	-0.396161183	-0.411676637	-0.840647306	6.032409963	108.5803938	1.81E-20	5.17E-19
ENSMUSG00000071456	-0.349935201	-1.035439321	0.311254417	-0.017495673	0.358052678	0.586247301	0.59627551	2.572820239	108.5273261	1.86E-20	5.29E-19
ENSMUSG00000090877	-2.579096851	-3.085805156	1.07149586	0.490476551	0.942888731	0.478961672	-0.767621786	4.515277049	108.5023888	1.88E-20	5.34E-19
ENSMUSG00000032290	0.680153645	1.150847476	0.015433341	0.132830656	0.166356912	0.314049368	0.668029472	4.750566601	108.322384	2.05E-20	5.81E-19
ENSMUSG00000071633	0.716970513	0.894719761	-0.054397971	0.504784715	-0.432865221	-0.077736002	0.436769808	6.063190562	108.2290755	2.14E-20	6.06E-19
ENSMUSG00000042626	-0.283402008	-0.099444664	-0.095341911	0.006930528	-0.189747389	-0.43218109	-0.400849785	5.812671579	107.9805902	2.41E-20	6.81E-19
ENSMUSG00000002428	-0.610066962	-0.897806458	-0.062402814	-0.694902403	-0.217569992	-0.30483155	-0.558617259	3.310055346	107.9662204	2.42E-20	6.84E-19
ENSMUSG00000042213	-0.18748851	-0.875248999	0.280236303	-1.071455566	-0.033000085	0.251796244	0.165434684	3.044575721	107.8585334	2.55E-20	7.19E-19
ENSMUSG00000026014	-0.369420817	-0.523564674	0.251053005	-0.041228241	0.210744243	0.057798695	-0.059599354	5.230479192	107.8538162	2.56E-20	7.19E-19
ENSMUSG00000029859	-0.521854721	-0.419522171	-0.107207972	0.004618038	-0.004184272	-0.094070455	-0.202639871	5.286343051	107.8116452	2.61E-20	7.32E-19
ENSMUSG00000041939	-0.712876551	-0.865565669	-0.141272059	-0.97823055	-0.387194795	-0.590822634	-1.065467822	3.230248923	107.6566617	2.81E-20	7.87E-19
ENSMUSG00000011114	-0.073162748	0.300842511	-0.22069493	0.219447731	-0.264670074	-0.43699449	-0.420621281	5.226072741	107.5337804	2.98E-20	8.33E-19
ENSMUSG00000052085	-0.342396419	-0.615733736	-0.016963724	-0.69373236	-0.373768291	-0.345321224	-0.489394928	5.935532542	107.5213986	3.00E-20	8.36E-19
ENSMUSG00000026343	0.249055135	0.3850739	-0.229413486	-0.201941231	-0.441480639	-0.590709991	-0.514679993	3.245776129	107.5004282	3.03E-20	8.43E-19
ENSMUSG00000038831	-0.565324265	-1.368770838	0.168719101	-0.767707584	-0.352933539	-0.255881823	-0.450707861	2.787034495	107.4296209	3.13E-20	8.70E-19
ENSMUSG00000039844	-0.320764404	-0.127802459	-0.108917108	0.070330614	-0.099452305	-0.316901499	-0.47004484	6.491463554	107.311053	3.32E-20	9.19E-19
ENSMUSG00000027222	0.225243435	0.549263308	0.025939053	0.393588958	-0.170004791	-0.141204712	-0.206795135	6.717366421	107.2331939	3.44E-20	9.52E-19
ENSMUSG00000086010	-1.273225458	-1.509124402	-0.209184838	-0.608930142	-0.778914378	-1.098099785	-1.382750514	1.665416727	106.9615751	3.92E-20	1.08E-18
ENSMUSG00000040715	0.957959248	1.092692908	0.166333882	0.712206616	0.660994782	0.64500663	0.774250271	4.848439232	106.8781121	4.08E-20	1.12E-18
ENSMUSG00000042349	-0.892311847	-0.851632189	-0.179123137	-0.573427603	-0.480179963	-1.000825816	-1.195225797	3.999812974	106.7205958	4.39E-20	1.21E-18
ENSMUSG00000049672	-0.253587301	-0.417426099	0.173730054	0.00989705	0.298988719	0.304776225	0.194047942	3.768150245	106.7032535	4.43E-20	1.22E-18
ENSMUSG00000104348	1.146825643	0.338005036	0.303125968	0.721618153	0.657273293	1.183766217	1.403748584	2.469984665	106.7003471	4.44E-20	1.22E-18
ENSMUSG00000097691	-0.758017154	-1.946935751	0.345679866	-1.309776901	0.194725223	0.444287654	0.317957527	1.33523618	106.0939289	5.92E-20	1.62E-18
ENSMUSG00000022353	-0.54254114	-0.839399443	0.217058556	0.257973706	0.122454341	-0.17630009	-0.296889518	7.137156784	105.9718265	6.28E-20	1.71E-18
ENSMUSG00000031903	-0.713145362	-0.777763982	-0.313290747	-0.567808673	-0.392784594	-0.469258727	-0.666434341	4.652833722	105.9362219	6.39E-20	1.74E-18
ENSMUSG00000032050	-0.170885615	-0.513381397	0.032032192	-0.17265333	-0.05210199	0.114412396	0.077173606	7.144721427	105.9101535	6.47E-20	1.76E-18
ENSMUSG00000041769	0.621979765	0.793170728	0.085682358	0.599310445	0.223862569	0.378138186	0.496839302	4.97650928	105.8374787	6.69E-20	1.82E-18
ENSMUSG00000026566	1.061266822	1.60906395	0.014618627	0.484360682	0.116064295	-0.05200574	0.754796805	1.577953186	105.7081205	7.12E-20	1.93E-18
ENSMUSG00000033540	0.526078154	0.864488475	-0.140865412	0.992560468	0.176329145	0.125256878	0.201486672	2.808110456	105.3065076	8.62E-20	2.33E-18
ENSMUSG00000059970	-0.932250549	-0.944313412	0.684415104	0.172371611	0.491113292	-0.212511569	-0.147762877	1.584661902	105.2916269	8.68E-20	2.34E-18
ENSMUSG00000031844	0.480104574	0.768847601	-0.063791786	0.3458077	-0.137358459	-0.012389956	0.158951429	5.978796451	105.2189875	8.99E-20	2.42E-18
ENSMUSG00000018102	0.034857206	-0.191447234	0.093015541	-0.561616787	0.177965511	0.056496425	0.113138072	6.930845434	105.2170619	9.00E-20	2.42E-18
ENSMUSG00000067203	-1.161003372	-1.669095243	0.183490405	-1.128641017	-0.452437156	-0.203214382	-0.401702823	2.175754937	105.0477392	9.76E-20	2.62E-18
ENSMUSG00000102101	0.831500035	0.906792986	-0.08010237	0.959144011	-0.17809689	-0.020184236	0.217700491	2.614755359	104.8683558	1.06E-19	2.85E-18
ENSMUSG00000028106	0.103973935	0.501729806	-0.002108925	0.450984665	0.068361648	-0.082002654	-0.065717046	4.413817456	104.7950457	1.10E-19	2.94E-18
ENSMUSG00000116165	-2.149386343	-3.461138834	-0.041221437	-0.631276176	0.134893343	0.113588773	-0.669683873	0.775904923	104.7243906	1.14E-19	3.04E-18
ENSMUSG00000019883	-0.231595348	-0.452535849	0.187477467	-0.58074655	-0.196304647	0.15920463	-0.038323484	5.811671173	104.5827189	1.22E-19	3.24E-18
ENSMUSG00000070644	-0.628866543	-0.745064734	0.287580791	-0.417029555	-0.007231384	-0.391063086	-0.67168469	8.017761183	104.569915	1.23E-19	3.26E-18
ENSMUSG00000008305	-0.428681442	-0.347468935	0.264270467	0.421445861	0.193239482	-0.100212728	-0.198775985	4.88487053	104.4704537	1.28E-19	3.41E-18
ENSMUSG00000040359	-0.546245066	-0.388956865	-0.193786239	-0.152100966	-0.278171713	-0.644071058	-0.663319591	4.800596804	104.3322544	1.37E-19	3.64E-18
ENSMUSG00000044847	0.79241315	0.38495991	0.169107792	-0.311661826	0.259932268	0.672938824	0.794271508	2.241141241	104.3275555	1.38E-19	3.64E-18
ENSMUSG00000035325	-0.430105619	-0.471469578	-0.006644453	-0.012935633	-0.004198727	-0.228406612	-0.339300284	7.286316411	104.2576007	1.42E-19	3.75E-18
ENSMUSG00000045691	0.223516677	0.329714932	-0.213238853	0.131872394	-0.176530318	-0.18446491	0.049634704	5.02924158	104.18353	1.47E-19	3.88E-18
ENSMUSG00000022571	-0.342234362	-0.805639002	0.131744485	-0.240014058	0.063096534	-0.006339292	-0.017607583	4.439789634	104.1736588	1.48E-19	3.89E-18
ENSMUSG00000022707	-0.392186404	-0.574228089	-0.044460505	-0.562825006	-0.058559457	0.069533518	-0.173954557	7.699443866	104.0298971	1.58E-19	4.16E-18
ENSMUSG00000070284	-1.075674031	-1.033880987	-0.248448356	-0.141443635	-0.35226612	-1.062085663	-0.960277392	3.776512384	103.8160219	1.75E-19	4.60E-18
ENSMUSG00000019916	-0.706534719	-0.967800056	0.429753575	0.361372864	0.714898356	0.560669272	0.28439125	3.441109609	103.7516072	1.81E-19	4.73E-18
ENSMUSG00000006127	0.284623187	0.671439189	-0.082064824	0.321013766	0.037430588	-0.002397934	-0.02962595	3.945582797	103.7128619	1.84E-19	4.81E-18
ENSMUSG00000040599	-0.904519129	-0.913448882	-0.18575875	-0.126939217	-0.282613932	-0.296403239	-0.39264987	3.844312574	103.6627944	1.89E-19	4.92E-18
ENSMUSG00000032724	0.953341763	0.626704114	0.3892957	-0.083529894	0.562155339	0.865823709	0.961766978	3.787138576	103.6309178	1.92E-19	4.99E-18
ENSMUSG00000006362	0.944017107	0.746042299	-0.293362906	0.020532291	0.103387158	0.567686453	0.682904074	3.017194605	103.5020856	2.04E-19	5.29E-18
ENSMUSG00000030104	-0.374118678	-0.501107869	0.095481821	-0.281534765	-0.025179932	-0.147845293	-0.218985872	7.490400887	103.4438382	2.09E-19	5.43E-18
ENSMUSG00000016239	0.896402853	0.314225516	0.302137838	0.441366066	1.134688862	1.201806005	1.313735633	2.429195587	103.432832	2.11E-19	5.45E-18
ENSMUSG00000027828	-0.511340914	-0.699850706	-0.029929801	-0.454764641	-0.069785117	-0.106949711	-0.29660355	7.744003243	103.2545759	2.29E-19	5.92E-18
ENSMUSG00000046314	-0.557673453	-1.057963444	-0.105159788	-0.578595717	-0.450709961	-0.962993153	-0.84479212	2.887976317	103.2117194	2.34E-19	6.03E-18
ENSMUSG00000032757	-0.449035893	-0.724371615	0.016541847	-0.639293296	-0.144255113	-0.03590138	-0.20858881	5.555514303	103.2019372	2.35E-19	6.05E-18
ENSMUSG00000013833	-0.204277827	-0.144945908	-0.010629486	0.212444312	-0.102017303	-0.39369638	-0.504727397	4.835029495	102.9781521	2.62E-19	6.72E-18
ENSMUSG00000021957	-0.520076804	-0.696311571	-0.014070179	-0.89450539	-0.092814341	-0.036426438	-0.411122406	7.911938588	102.7571886	2.91E-19	7.45E-18
ENSMUSG00000118366	0.203522702	-0.286969091	0.178185778	0.028833617	0.208015968	0.464218941	0.54919732	6.278370992	102.7513695	2.91E-19	7.45E-18
ENSMUSG00000024298	0.171977729	-0.075457145	0.208324501	0.084075809	0.460122122	0.638830792	0.510246731	5.930636483	102.7496544	2.92E-19	7.45E-18
ENSMUSG00000029063	-0.226405967	-0.427062123	0.120040586	-0.413088198	-0.004903907	0.040341478	0.00728447	8.230198113	102.7138128	2.97E-19	7.56E-18
ENSMUSG00000026209	-0.404030966	-0.530070464	-0.00883984	-0.193258217	0.010648333	-0.318675287	-0.372703839	5.571837864	102.6378884	3.07E-19	7.83E-18
ENSMUSG00000037942	0.417075923	0.235598065	0.219870541	-0.141232776	0.1988931	0.467539017	0.620651793	8.134738941	102.6104715	3.12E-19	7.92E-18
ENSMUSG00000067813	-0.671362827	-0.860492817	-0.105369889	-1.086030954	-0.889662227	-0.254412969	-0.362753189	3.225075547	102.5873831	3.15E-19	7.99E-18
ENSMUSG00000041828	0.367494275	-0.287686448	0.327956914	-0.367696213	0.053027284	0.427159253	0.483035907	5.212376739	102.57146	3.17E-19	8.04E-18
ENSMUSG00000058638	0.477958838	0.646213017	0.049303953	0.465535871	0.182167211	0.308298763	0.375334206	4.600038643	102.4690883	3.33E-19	8.42E-18
ENSMUSG00000039934	-0.548796661	-0.591593839	-0.113543162	-0.339629744	-0.565065343	-0.763420504	-1.012422256	4.179550211	102.3383223	3.55E-19	8.95E-18
ENSMUSG00000004996	-0.261952372	-0.00849214	-0.061422362	0.183410025	-0.254344914	-0.529345943	-0.703266031	3.761080301	102.2665171	3.67E-19	9.24E-18
ENSMUSG00000047822	-1.749649	-1.408731781	-0.913542814	-1.04630374	-1.335865047	-1.490618451	-1.39592677	5.155282537	102.2015892	3.78E-19	9.52E-18
ENSMUSG00000033860	0.734643128	0.857611683	0.205798614	0.494281406	0.2477285	0.387482763	0.599709651	10.92356135	102.1808101	3.82E-19	9.59E-18
ENSMUSG00000001482	0.22261182	0.374355594	-0.067000474	0.231879474	-0.092482239	-0.057420806	0.04787922	6.227686805	102.1577514	3.86E-19	9.68E-18
ENSMUSG00000027253	-0.371819221	-0.520036824	0.073742154	-0.184770772	0.126898583	0.02608741	-0.178280756	5.379702909	102.1107957	3.95E-19	9.89E-18
ENSMUSG00000064337	-0.451989763	-0.44864523	0.161048773	-0.023791095	0.099895853	0.498954257	0.174662842	7.513464729	101.9680707	4.23E-19	1.06E-17
ENSMUSG00000040181	-0.051903566	-0.317961471	0.120594585	-0.119422617	0.177226646	0.230688283	0.189763192	8.247993524	101.9116734	4.34E-19	1.08E-17
ENSMUSG00000075025	2.173929495	2.206916155	0.44115461	2.662970713	1.412226508	1.078686589	1.585548244	0.547426804	101.8706326	4.43E-19	1.10E-17
ENSMUSG00000025194	-0.637030405	-0.56064426	-0.150756506	-0.224727802	-0.291272091	-0.504458514	-0.679923323	9.298421987	101.8680747	4.44E-19	1.10E-17
ENSMUSG00000052934	1.22175041	0.992062348	0.432797926	1.213697749	1.028631682	1.20820935	1.291217794	6.474506684	101.8338402	4.51E-19	1.12E-17
ENSMUSG00000073460	0.228612506	0.941100985	-0.336258114	0.43367347	-0.437308869	-0.605893487	-0.569987156	2.709854471	101.824243	4.53E-19	1.12E-17
ENSMUSG00000035227	-0.550021392	-0.66990202	0.054701735	-0.266593664	-0.037621043	-0.261887773	-0.363990226	5.806479409	101.7711267	4.65E-19	1.15E-17
ENSMUSG00000022498	-0.710721534	-0.512392648	0.078813641	0.0330948	-0.160781729	-0.505147987	-0.645657547	4.933413099	101.6811751	4.85E-19	1.20E-17
ENSMUSG00000018841	0.541741519	0.587368174	0.032769415	0.500960234	-0.004796468	0.351213303	0.471328452	3.911940775	101.6638696	4.89E-19	1.20E-17
ENSMUSG00000028796	0.531935846	0.615117456	-0.038836669	0.198048309	0.269195453	0.369072206	0.503803239	5.063764742	101.5337727	5.20E-19	1.28E-17
ENSMUSG00000115338	0.61909501	0.513358106	0.029153413	-0.111725508	0.065925576	0.279484517	0.478996051	6.065697832	101.3541136	5.67E-19	1.39E-17
ENSMUSG00000025185	1.610789288	1.577555286	-0.452564139	-0.278083346	0.271875326	0.299951706	0.691590598	0.678758269	101.2822705	5.86E-19	1.44E-17
ENSMUSG00000018669	-0.521629935	-0.456579314	-0.052250766	-0.241529823	-0.055108816	-0.242364523	-0.523445496	5.784807968	101.2753979	5.88E-19	1.44E-17
ENSMUSG00000025937	-0.193623725	-0.441726075	0.138969989	-0.50235264	-0.165345038	0.040614956	-0.166846095	8.108483033	101.2741829	5.88E-19	1.44E-17
ENSMUSG00000019577	2.26157955	2.060275938	0.538006665	0.853563732	1.255313378	1.699152944	1.970234103	5.539663362	100.9416814	6.89E-19	1.68E-17
ENSMUSG00000033732	-0.020350377	0.359829327	-0.134554507	0.244875265	-0.130003822	-0.248879791	-0.146718788	5.127351164	100.8905126	7.06E-19	1.72E-17
ENSMUSG00000028976	-1.530816819	-1.611090362	-0.518203994	-1.399091179	-0.472427555	-0.895496399	-1.52946231	2.639175124	100.8103543	7.34E-19	1.78E-17
ENSMUSG00000027613	-0.125485109	0.215308779	-0.113138049	0.218852912	-0.084080492	-0.327877758	-0.393531043	6.247787568	100.7016037	7.73E-19	1.87E-17
ENSMUSG00000047881	0.730021971	0.866963493	-0.165160693	0.146321201	-0.008348369	0.023384359	0.205589526	3.262937593	100.6829597	7.80E-19	1.89E-17
ENSMUSG00000010936	-0.486809656	-0.86639684	-0.003512623	-0.389434944	-0.09175498	-0.092735069	-0.283213922	5.384916873	100.5911695	8.14E-19	1.97E-17
ENSMUSG00000055737	-0.238736705	-0.543267702	0.036017971	-0.394490682	-0.143862733	-0.104618203	-0.184072258	8.340848706	100.5732273	8.21E-19	1.98E-17
ENSMUSG00000021629	-0.486777624	-0.466167371	-0.018639883	0.068062465	-0.030170749	-0.136422069	-0.124833759	5.057701459	100.5036907	8.49E-19	2.05E-17
ENSMUSG00000028399	0.071536073	-0.455124205	0.051979601	-0.145733426	0.196681746	0.304681325	0.188997093	7.377246768	100.4216066	8.83E-19	2.12E-17
ENSMUSG00000072999	1.698783832	2.27493428	-0.428237705	0.640329544	0.175237593	-0.285658504	0.606734335	-0.039687416	100.3656582	9.07E-19	2.18E-17
ENSMUSG00000022946	0.067294144	-0.381640965	0.280382653	-0.255382167	0.283196526	0.216677907	0.005914173	6.822812971	100.3498802	9.13E-19	2.19E-17
ENSMUSG00000063730	-0.444373615	-1.151828254	-0.074712788	-0.5621824	-0.317885477	-0.4648792	-0.56204007	5.170843964	100.3134213	9.29E-19	2.22E-17
ENSMUSG00000027800	-0.160823158	0.01406445	-0.264576218	-0.103875655	-0.49453679	-0.970893293	-0.743912419	3.721856978	100.3112299	9.30E-19	2.22E-17
ENSMUSG00000021226	1.211898024	1.172799168	0.151844459	1.295103754	0.628366152	0.760237546	0.914048013	5.387201908	100.2848545	9.42E-19	2.24E-17
ENSMUSG00000004393	-0.218209234	-0.001161058	-0.105578469	0.108483338	-0.236895404	-0.497339153	-0.629435644	4.634347012	100.2841855	9.42E-19	2.24E-17
ENSMUSG00000029580	-0.068174792	0.250798465	-0.160451689	0.110573313	-0.295455164	-0.420758849	-0.337488188	8.524603234	100.2765546	9.46E-19	2.25E-17
ENSMUSG00000038550	-1.517876529	-1.032992964	0.313964144	0.054944061	-0.242683707	-0.908360547	-1.617643493	3.214589573	100.2061631	9.78E-19	2.32E-17
ENSMUSG00000031812	0.530787212	0.588105904	0.148647232	0.577931193	0.289963713	0.397122469	0.52116285	7.316102939	100.1171992	1.02E-18	2.42E-17
ENSMUSG00000029119	0.062925773	0.159554023	0.085985758	0.394438513	-0.032490223	-0.175426431	-0.21904419	5.692645768	99.96953452	1.09E-18	2.59E-17
ENSMUSG00000021252	-0.452391837	-0.588340113	0.090290071	-0.467380702	-0.187391232	-0.215085281	-0.356433378	5.083683762	99.76777339	1.20E-18	2.84E-17
ENSMUSG00000038648	-0.760939888	-0.564212181	0.214732453	0.198122996	0.081876797	-0.459247501	-0.312668689	4.685068297	99.73972635	1.22E-18	2.88E-17
ENSMUSG00000027822	-0.573386988	-0.709509897	-0.058005301	-0.434211804	-0.142413018	-0.276023674	-0.322239196	5.894032643	99.64037994	1.28E-18	3.01E-17
