	logFC.group_allob.ob.12	logFC.group_allob.ob.16	logFC.group_allob.ob.2	logFC.group_allob.ob.24	logFC.group_allob.ob.4	logFC.group_allob.ob.6	logFC.group_allob.ob.8	logCPM	LR	PValue	FDR
ENSMUSG00000032301	-0.189471273	-0.131899002	-0.049258861	-0.147479229	-0.082328771	-0.163627637	-0.185675956	6.331265082	13.63187668	0.058129799	0.100026598
ENSMUSG00000029632	-0.018612583	-0.015682169	0.093113467	-0.063617801	0.027298399	0.086017608	0.104127894	7.725746355	13.62795583	0.058208274	0.10014959
ENSMUSG00000020284	0.323192043	0.355049104	0.099204445	0.481412296	0.142637347	0.080797782	0.12477814	2.265335799	13.62301096	0.058307384	0.10030805
ENSMUSG00000040084	0.313488785	-0.423070707	-0.202338599	-0.46059991	-0.573348737	-0.627912714	0.271131825	-0.274109564	13.6194454	0.058378945	0.100419085
ENSMUSG00000062456	0.510011571	0.861124892	0.331197987	0.584251968	0.359306284	0.432815152	0.520243185	0.932988748	13.61885744	0.058390753	0.100427323
ENSMUSG00000033082	0.171487278	-0.075161655	0.324386502	-0.167468122	0.317336421	0.28150316	0.004829474	1.41589398	13.61843822	0.058399174	0.100429733
ENSMUSG00000010051	-0.083055589	0.058991031	-0.066357496	0.117567191	0.052104554	-0.159706471	-0.046306804	5.429619412	13.61416312	0.058485109	0.10056543
ENSMUSG00000025193	0.301918364	0.222062313	0.076796943	0.225360486	0.262501892	0.158570478	0.291677605	3.117381718	13.61329953	0.058502482	0.100583215
ENSMUSG00000049922	0.218683835	0.047665526	0.177474987	0.201489527	0.290124936	0.203665447	0.249762971	4.398162372	13.60419941	0.058685844	0.100886346
ENSMUSG00000040390	-0.105107685	-0.121804477	0.02410035	-0.080763888	-0.029161317	-0.241321045	-0.217266701	3.759795528	13.60321405	0.05870573	0.100908408
ENSMUSG00000027864	0.031127552	0.016460727	-0.456273925	-0.085687255	-0.330812841	-0.179429468	-0.179322749	1.946933248	13.60278867	0.058714317	0.100911045
ENSMUSG00000014769	-0.128956887	-0.016690063	0.040118406	0.016529961	-0.049108426	-0.064737731	-0.119303805	6.676907309	13.59611845	0.058849114	0.101130569
ENSMUSG00000079834	-0.248737088	-0.195363871	0.020585922	-0.248583313	-0.220906002	0.056433222	-0.099629205	3.74481543	13.59367073	0.05889865	0.101203542
ENSMUSG00000024414	-0.15152105	-0.113607753	0.032486203	0.029192242	-0.000619391	-0.009065789	-0.187875315	5.075799674	13.59231334	0.058926138	0.101238614
ENSMUSG00000003348	-0.35206431	-0.345793795	0.226438951	0.021117192	-0.054772188	-0.10248534	0.056932971	2.281764406	13.59178118	0.058936917	0.101244976
ENSMUSG00000028617	-0.011526482	-0.000122864	-0.117690239	-0.229403272	-0.181238449	-0.129695762	0.045029502	3.618657996	13.58826113	0.059008265	0.10135069
ENSMUSG00000116810	-0.170238806	-0.767700838	0.120837338	0.443807075	-0.153987963	-0.558260588	-0.425053946	-0.502631995	13.58804628	0.059012622	0.10135069
ENSMUSG00000023328	0.446515065	0.981397693	0.471674343	1.023667845	-0.332699022	0.003336423	-0.478338253	-1.344368534	13.58696511	0.059034554	0.101376188
ENSMUSG00000009470	-0.066490505	-0.101667737	0.045207452	0.043760081	0.052768777	0.114117741	0.083936798	6.370847858	13.58653414	0.059043299	0.101379037
