KEGG ID,Name,S25,S26,S27,S67,S68,S31,S32,S72,S73,S74,S35,S36,S37,S77,S78,S41,S42,S82,S83,S84,S45,S46,S47,S87,S88,S51,S52,S92,S93,S94,S97,S98,S102,S103,S104,S55,S56,S57,S61,S62,S28,S29,S30,S65,S66,S33,S34,S69,S70,S71,S38,S39,S40,S75,S76,S43,S44,S79,S80,S81,S48,S49,S50,S85,S86,S53,S54,S89,S90,S91,S95,S96,S99,S100,S101,S58,S59,S60,S63,S64
C00015,UDP,0.523080872509453,0.439214527709606,0.403143835540286,0.387431439919438,0.342337954901991,0.39844069461637,0.363944833089767,0.374041088911913,0.331451920118072,0.529419892291466,0.541005298695624,0.157455265391266,0.483202487390115,0.390880854608974,0.579924670734002,0.408557913779933,0.476077638729247,0.546981071563271,0.392039167744472,0.557973347848162,0.288167145740285,0.416103190631752,0.184659473594391,0.448134740932853,0.595319919208978,0.63802491065652,0.503712832277833,0.508226856235521,0.344260546101173,0.481536184848119,0.378025873260154,0.543047757987297,0.403470540190487,0.744973201715237,0.389783619875205,0.263289585875897,0.424059110452287,0.408449470311902,0.136746322218958,0.25326545139947,0.2025234667654,0.349766948542628,0.328721704134184,0.315314839712883,0.49457009147659,0.322746907184129,0.356580646720674,0.311980171935952,0.288954033832654,0.300037640901687,0.459272857004402,0.509759714305634,0.37581107478432,0.223396588071403,0.260841308259801,0.37503353814376,0.413048042998211,0.239003921296884,0.377741955925834,0.355354662190976,0.313794491225134,0.395933383702928,0.43617418299253,0.27551642252588,0.277541067665263,0.352531825354901,0.360226240261672,0.355308950525505,0.522276436684258,0.389074638943614,0.339738149175674,0.305705395475851,0.450138017426139,0.310952879055964,0.25982596328993,0.496536388920172,0.356677463912794,0.360040014222027,0.407928851247943,0.353345322771168
C00695,Cholate,NaN,NaN,0.00512182433384861,0.0062903053399608,NaN,NaN,NaN,0.00419699646776798,NaN,0.00472159090865737,NaN,0.00413114402539866,NaN,0.0136313720207352,NaN,NaN,0.00578482820374859,NaN,0.00490524223553496,0.00507202042545257,0.0116479379554418,NaN,NaN,NaN,0.00764249121972349,NaN,0.0134786243093495,0.00428323622699818,0.0225236003871492,0.0144430617389333,NaN,NaN,0.00650737630893963,0.0153122166780355,0.0128703365365278,NaN,0.00758377983373718,NaN,0.00541277875971622,0.00322357370154096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C00206,dADP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C01260,"P1, P4-Di(adenosine-5') tetraphosphate",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C00630,Isobutyryl CoA,0.0040597274724765,0.00260600236042994,0.00129729255762822,0.00350251504687355,0.00327952994289195,0.00574207914326501,0.00558357319945005,0.00190908360424849,0.000703864775629207,0.00178319321941337,0.00312989177002076,0.00261494131004944,0.00413676986424468,0.00732934344724293,0.00530206032670207,0.00584123991672772,0.00389535383393378,0.00883778001557677,0.00518551865296906,0.00527748103351493,0.00676104096734608,0.00490059383003703,0.00251971057308376,0.00852069154485967,0.00860729597964471,0.00596006929502272,0.00508956831954157,0.0035036469753694,0.0082910338458953,0.00642111132057195,0.00498098727526611,0.01773856343856,0.0137275016580962,0.0070945272431913,0.00791852372981515,0.0112813123891943,0.00670104386406259,0.00772363833488858,0.00846935142443525,0.00352700832521537,0.00420270835688889,0.00523124073010571,0.0061267496451657,0.00618778196527087,0.0106506422543173,0.00383812767062807,0.00334414471711858,0.0144553735914995,NaN,0.000683308733325534,0.00286633232060428,0.00229513175214467,0.00461826534447471,0.00369804520954169,0.00287774495754065,0.00484872123939759,0.00573736007441343,0.00338188814965835,0.00635406318216527,0.00224960378103796,0.00345123187029633,0.00199011645998843,0.0081690124106821,0.00725125713306502,0.00700149635799205,0.00301879986528982,0.00137305152013531,0.00408602296035124,0.0112712051825967,0.00684922148737269,0.000735951045683655,0.00157189377838569,0.00100211062071087,0.00376131564567768,0.00165907678888617,0.00469440937932066,0.00364132488281735,0.00485171335274095,0.00122751549909422,0.00294701352200306
C00689,Trehalose 6-phosphate,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0218602792020717,NaN,0.0132873064323984,NaN,NaN,NaN,NaN,0.00851284186157503,0.00965968967242434,NaN,NaN,NaN,NaN,NaN,0.0212812211848116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0198228182672581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C00083,Malonyl CoA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C00224,Adenosine 5'-phosphosulfate,0.0552230267043918,0.0364822379968473,0.0335480824278762,0.0271525069934599,0.0184289290635188,0.0218979658020428,0.0180637479875043,0.0120834803177096,0.00977099278399968,0.0225979728344276,0.0152590734200817,0.0104695753411043,0.0111894200091903,0.016152444328997,NaN,0.0171445597165003,0.0147375146960206,0.0122548553599809,NaN,NaN,0.0180271800488157,0.0175678137042101,0.0102665311638933,0.00899644968969203,NaN,0.0226749332587819,0.00700898990002967,0.0094249483757921,0.00963963851666481,0.0163847026302426,0.0124585023334564,0.0119178827687748,0.00749843736121107,0.0236952733487287,NaN,0.0161718455936062,0.0125075383407657,0.00722433958591691,NaN,0.0063889664592872,0.0194198317271645,0.0179119416088504,0.0201031559408982,0.0160531026273244,0.0259371867740985,0.0120589901149994,0.00606444807619897,0.0108672148858576,0.0158878270676347,0.0154205902926309,0.0206726681363126,0.0203798103744098,0.0137408080341106,0.0110493519982087,0.00992893465483691,NaN,NaN,0.00899241471247323,0.0160709549726097,0.0128743862348048,0.00924596395959501,0.0152159999035961,0.00727481624320527,0.0143414812348521,NaN,0.00850600670769186,0.0103141335365509,0.0127455884872701,0.00614091634203687,0.00854971363301905,0.00865422699448039,0.0105958017138189,0.0101942059701028,0.0152039938218347,0.0119818121498429,0.0179791882200256,0.0143198384464836,0.00935409837663965,0.0175845915143993,0.0104856642530644
C00054,"Adenosine 3',5'-diphosphate",0.0225535481087909,0.0242487999362646,0.0234372468004967,0.0144434538153626,0.0185119732319112,0.0238675038228156,0.0181306172530842,0.0165505925552094,0.0209214965486421,0.0229614958130936,0.0221896379645156,0.0354964015576977,0.0246503590182596,0.0225361147907986,0.0216115176404203,0.0396993993016468,0.0248256984922322,0.025282640033975,0.0293049606619158,0.0367792621461148,0.0355177736608999,0.0235065801768634,0.0404750166820447,0.0379420290429017,0.0322011317074307,0.0364447143809349,0.0278021719149386,0.021577891060168,0.0273478491756491,0.0319305323452906,0.0286351872537093,0.0287667330596812,0.0338970481003611,0.0294249173056059,0.0471777005534571,0.0271328517402488,0.0296313719063481,0.0248630258950214,0.0317346256023535,0.0295202366847765,0.00853748106284573,0.0110549411189299,0.00987010287160937,0.0114166136987002,0.0217548419580127,0.0110728046032389,0.0113067640790354,0.0145412070725877,0.0132780421908901,0.0100453290289782,0.013772336124587,0.0185691047868058,0.01220869329755,0.0100850774156164,0.00969831823916618,0.0112742158629627,0.013907469075393,0.00710186645146938,0.00772104633601961,0.0116418037792866,0.00834295213018117,0.0123979561439406,0.0103948669219506,0.0135509702582269,0.00868499700695941,0.0112682318140764,0.00929280808415374,0.00870959897225014,0.0182948314931481,0.0135089531054273,0.0104208728209306,0.0169404133508081,0.0159099693223605,0.010742277723723,0.0133797823850134,0.0122890404342343,0.0115651711861791,0.0113866606581972,0.0132148000133457,0.0151127815711413
C00008,ADP,6.85375593016807,5.40964488730262,5.60881060066666,4.24519398882279,4.60526568455833,5.55285703917958,4.89063132889782,4.69677257456913,4.90678392503506,5.51679260815915,5.13734346344211,3.6758853744224,5.57180123621052,5.45836672946234,5.92264597098918,6.79157272824475,5.86142049362691,6.43955717501205,5.73045869713342,6.52173253926028,4.71741170734014,5.43485501666873,3.76059001934799,6.5400921022085,6.95620058030898,6.76872364012797,5.5853438084956,5.03286619844285,4.87431577037569,5.43461283680866,4.5573996413887,6.09969704020566,4.67013123766627,7.39946165305187,4.86926807334815,4.11308980173297,4.81516242405373,4.57672640235825,2.92157520665673,3.7946357170059,3.151890370994,4.67885564534082,4.33800745870154,3.92695103582262,5.40195041815654,4.96191477767102,3.9281012731413,4.06316654153802,4.15794211401193,3.70862550040159,4.94791888197728,5.34170652869277,4.117083845941,3.19353513459018,3.7619640679794,3.73843105817283,3.58031005844708,3.14571588238795,4.77915366106021,4.05802006784034,3.48228437908732,3.99359598705904,4.18293277983514,4.22146562013965,3.84284305082562,4.48199711053421,3.68501015070367,3.58200071211468,5.88893848015443,4.39338584041074,3.69579899212551,4.84557295296109,4.7125910041119,4.18380240216667,4.19189708978268,5.69809184788131,4.81518072273947,4.43679209980922,4.18096476968205,4.10125764477387
C00104,IDP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C00504,Folate,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
